AdjustedWkt,Description
POINT (179.84833333333333 49.271666666666668),NAVAREA XIII 76/23   NORTH PACIFIC   CHART RUS 60404   1. BUOY ADRIFT 070800 UTC JUN IN 49-16.3N 179-50.9E   2. CANCEL THIS MESSAGEV130800 UTC JUN 23   3. СANCEL 60/23 AND THIS PARA
POINT (144.31 51.305),CHART RUS 62174  1. DRILLING RIG POLYARNAYA ZVEZDA IN 51-18.3N 144-18.6E UNTIL 31 AUG  2000 METRE BERTH REQUESTED  2. CANCEL THIS MESSAGE 01 SEP 23    84/23
POINT (59.744 71.080666666666673),KARA SEA.  CHART RUS 12305.  1. MOORING BUOY ADRIFT 120700 UTC JUN  IN 71-04.84N 059-44.64E.  2. CANCEL THIS MSG 150700 UTC JUL 23.=  NNNN
"POLYGON ((33.633333333333333 69.966666666666669, 33.633333333333333 69.575, 34.8 69.575, 34.8 69.966666666666669, 33.633333333333333 69.966666666666669))",BARENTS SEA  CHART RUS 10100  1. ARTILLERY FIRINGS 0500 TO 1900 UTC DAILY 14 TO 18 JUN  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 69-58.0N 033-38.0E 69-58.0N 034-48.0E 69-34.5N 034-48.0E 69-34.5N 033-38.0E  2. CANCEL THIS MSG 182000 UTC JUN 23
"POLYGON ((132.81666666666666 42.625, 131.68333333333334 42.666666666666664, 131 42.416666666666664, 131 42.25, 131.68333333333334 41.666666666666664, 132.81666666666666 41.666666666666664, 132.81666666666666 42.625))",NAVAREA XIII 79/23   ZALIV PETRA VELIKOGO   CHART RUS 61001   1. GUNNERY EXERCISES 121400 TO 171400 UTC JUN IN AREA BOUNDED BY   42-40.0N 131-41.0E 42-37.5N 132-49.0E 41-40.0N 132-49.0E   41-40.0N 131-41.0E 42-15.0N 131-00.0E 42-25.0N 131-00.0E   2. CANCEL THIS MESSAGE 171500 UTC JUN 23
"POLYGON ((132.61666666666667 42.725, 131.68333333333334 42.725, 131.68333333333334 42.18333333333333, 132.61666666666667 42.18333333333333, 132.61666666666667 42.725))",NAVAREA XIII 80/23   ZALIV PETRA VELIKOGO   CHART RUS 62071   1. MISSILE EXERCISES FOR 18 HOURS FROM 1400 UTC 19 TO 23 AND 25 JUN   IN AREA BOUNDED BY 42-43.5N 131-41.0E 42-43.5N 132-37.0E   42-11.0N 132-37.0E 42-11.0N 131-41.0E   2. CANCEL THIS MESSAGE 260900 UTC JUN 23
"POLYGON ((135.15833333333333 42.758333333333333, 135.115 42.821666666666665, 134.11666666666667 42.675, 133.53333333333333 42.206666666666663, 133.80333333333334 41.92, 134.70833333333334 42.333333333333336, 135.15833333333333 42.758333333333333))",NAVAREA XIII 81/23   SEA OF JAPAN   CHART RUS 61001   1. MISSILE EXERCISES FOR 18 HOURS FROM 1400 UTC 21 TO 24 JUN   IN AREA BOUNDED BY 42-49.3N 135-06.9E 42-45.5N 135-09.5E   42-20.0N 134-42.5E 41-55.2N 133-48.2E 42-12.4N 133-32.0E 42-40.5N 134-07.0E   2. CANCEL THIS MESSAGE 250900 UTC JUN 23
"LINESTRING (178.13333333333333 45.56666666666667, 180 45.783333333333331)",NAVAREA XIII 83/23   NORTH PACIFIC   CHART RUS 60404   CABLE WORKS BY VESSEL ANIEK IN VICINITY OF LINE JOING   45-34N 178-08E AND 45-47N 180-00E   ONE MILE BERTH REQUESTED
"POLYGON ((154 51, 151 51, 151 49, 154 49, 154 51))",CHART RUS 60101  1. OCEANOGRAPHIC WORKS BY VESSEL MARSHAL GELOVANY UNTIL 05 SEP  IN AREA 51-00N 151-00E 51-00N 154-00E 49-00N 154-00E 49-00N 151-00E  2. CANCEL THIS MESSAGE 06 SEP 23    88/23
"POLYGON ((33.633333333333333 69.966666666666669, 33.633333333333333 69.575, 34.8 69.575, 34.8 69.966666666666669, 33.633333333333333 69.966666666666669))",BARENTS SEA  CHART RUS 10100  1. MISSILE AND ARTILLERY FIRINGS  0500 TO 1900 UTC 19 23 AND 24 JUN 0500 TO 1700 UTC 20 TO 22 JUN  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 69-58.0N 033-38.0E 69-58.0N 034-48.0E 69-34.5N 034-48.0E 69-34.5N 033-38.0E  2. CANCEL THIS MSG 242000 JUN 23  7
"POLYGON ((33.7 69.966666666666669, 33.7 69.751666666666665, 34.18 69.751666666666665, 34.18 69.966666666666669, 33.7 69.966666666666669))",BARENTS SEA  CHART RUS 10100  1. ARTILLERY FIRINGS 241700 UTC TO 252100 UTC JUN  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 69-58.0N 033-42.0E 69-58.0N 034-10.8E 69-45.1N 034-10.8E 69-45.1N 033-42.0E  2. CANCEL THIS MSG 252200 UTC JUN 23
"POLYGON ((135.15833333333333 42.758333333333333, 135.115 42.821666666666665, 134.11666666666667 42.675, 133.53333333333333 42.206666666666663, 133.80333333333334 41.92, 134.70833333333334 42.333333333333336, 135.15833333333333 42.758333333333333))",NAVAREA XIII 85/23   SEA OF JAPAN   CHART RUS 61001   1. MISSILE EXERCISES FOR 18 HOURS FROM 1400 UTC 25 TO 30 JUN IN AREA   42-49.3N 135-06.9E 42-45.5N 135-09.5E 42-20.0N 134-42.5E   41-55.2N 133-48.2E 42-12.4N 133-32.0E 42-40.5N 134-07.0E   2. CANCEL THIS MESSAGE 010900 UTC JUL 23
"POLYGON ((73.581666666666663 72.73833333333333, 73.585 72.693666666666672, 73.735166666666672 72.694666666666663, 73.732 72.739333333333335, 73.581666666666663 72.73833333333333))","KARA SEA.  OBSKAYA GUBA.  CHARTS RUS: 13330, 13331.  1. ENGENEERING AND HYDROGRAPHIC OPERATIONS  01 TO 30 JUL BY M/V KERN IN AREAS BOUNDED BY:  A. 72-44.30N 073-34.90E, 72-44.36N 073-43.92E,    72-41.68N 073-44.11E, 72-41.62N 073-35.10E.  B. 72-10.0N 073-06.0E, 72-10.0N 073-16.0E,   71-37.5N 072-48.0E, 71-27.0N 072-34.0E,   71-18.0N 072-47.0E, 71-18.0N 072-33.0E,   71-27.0N 072-25.0E.  PROCEED WITH CAUTION.  WGS-84 DATUM.  2. CANCEL THIS MSG 31 JUL 23.=  NNNN"
"POLYGON ((73.1 72.166666666666671, 72.416666666666671 71.45, 72.55 71.3, 72.783333333333331 71.3, 72.566666666666663 71.45, 72.8 71.625, 73.266666666666666 72.166666666666671, 73.1 72.166666666666671))","KARA SEA.  OBSKAYA GUBA.  CHARTS RUS: 13330, 13331.  1. ENGENEERING AND HYDROGRAPHIC OPERATIONS  01 TO 30 JUL BY M/V KERN IN AREAS BOUNDED BY:  A. 72-44.30N 073-34.90E, 72-44.36N 073-43.92E,    72-41.68N 073-44.11E, 72-41.62N 073-35.10E.  B. 72-10.0N 073-06.0E, 72-10.0N 073-16.0E,   71-37.5N 072-48.0E, 71-27.0N 072-34.0E,   71-18.0N 072-47.0E, 71-18.0N 072-33.0E,   71-27.0N 072-25.0E.  PROCEED WITH CAUTION.  WGS-84 DATUM.  2. CANCEL THIS MSG 31 JUL 23.=  NNNN"
"POLYGON ((51.4 77.316666666666663, 49.56666666666667 76.38333333333334, 53.233333333333334 76.15, 55.06666666666667 77.1, 51.4 77.316666666666663))",BARENTS SEA  CHART RUS 10100  1. SPECIAL ACTIVITIES 0500 TO 0800 1100 TO 1500 1600 TO 1900 UTC  DAILY 27 TO 30 JUN IN AREA DANGEROUS TO NAVIGATION BOUNDED BY  77-19.0N 051-24.0E 77-06.0N 055-04.0E 76-09.0N 053-14.0E 76-23.0N 049-34.0E  2. CANCEL THIS MSG 302000 UTC JUN 23
"POLYGON ((61.383333333333333 78.11666666666666, 61.35 77.36666666666666, 67.216666666666669 77.4, 67.316666666666663 78.13333333333334, 61.383333333333333 78.11666666666666))",BARENTS SEA  CHART RUS 10102  1. SPECIAL ACTIVITIES 0500 TO 0800 1100 TO 1500 1600 TO 1900 UTC  DAILY 29 JUN TO 02 JUL IN AREA DANGEROUS TO NAVIGATION  78-07.0N 061-23.0E 78-08.0N 067-19.0E 77-24.0N 067-13.0E 77-22.0N 061-21.0E  2. CANCEL THIS MSG 022000 UTC JUL 23
POINT (143.85222222222222 51.423333333333332),CHART RUS 63112  1. WAVE MEASURING BUOY IN 51-25-24N 143-51-08E UNTIL 31 OCT  2. CANCEL THIS MESSAGE 01 NOV 23    104/23
"POLYGON ((33.633333333333333 69.966666666666669, 33.633333333333333 69.575, 34.8 69.575, 34.8 69.966666666666669, 33.633333333333333 69.966666666666669))",BARENTS SEA  CHART RUS 10100  1. ARTILLERY FIRINGS 0500 TO 1900 UTC DAILY 03 TO 07 JUL  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 69-58.0N 033-38.0E 69-58.0N 034-48.0E 69-34.5N 034-48.0E 69-34.5N 033-38.0E  2. CANCEL THIS MSG 072000 UTC JUL 23
"POLYGON ((33.633333333333333 69.966666666666669, 33.633333333333333 69.575, 34.8 69.575, 34.8 69.966666666666669, 33.633333333333333 69.966666666666669))",BARENTS SEA  CHART RUS 10100  1. ARTILLERY FIRINGS 0500 TO 1900 UTC 10 TO 14 AND 17 TO 18 JUL  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA BOUNDED BY 69-58.0N 033-38.0E 69-58.0N 034-48.0E  69-34.5N 034-48.0E 69-34.5N 033-38.0E  2. CANCEL THIS MSG 182000 UTC JUL 23
POINT (57.664166666666667 73.38066666666667),KARA SEA.  CHART RUS 11126.  1. ICEBERG 122100 UTC JUL IN:  73-22.84N 057-39.85E.  2. CANCEL THIS MSG 152100 UTC JUL 23.=  NNNN
"POLYGON ((73.786555555555552 72.555305555555549, 73.82475 72.440083333333334, 73.795444444444442 72.409638888888892, 73.471277777777786 72.285222222222217, 73.165333333333336 72.163611111111123, 73.176722222222224 72.160888888888891, 73.810833333333335 72.405944444444444, 73.84463888888888 72.44072222222222, 73.801222222222222 72.555777777777777, 73.786555555555552 72.555305555555549))","KARA SEA.  OBSKAYA GUBA.  CHARTS RUS 13329.  1. DREDGING OPERATIONS IN PROGRESS FROM 14 JUL TO 30   OCT BY DREDGERS TONG HENG TONG YUAN XIN ZILANG   IN AREA BOUNDED BY: 72-33-19.1N 073-47-11.6E,   72-33-20.8N 073-48-04.4E, 72-26-26.6N 073-50-40.7E,  72-24-21.4N 073-48-39.0E, 72-09-39.2N 073-10-36.2E,   72-09-49.0N 073-09-55.2E, 72-17-06.8N 073-28-16.6E,   72-24-34.7N 073-47-43.6E, 72-26-24.3N 073-49-29.1E.   WIDE BERTH REQUESTED.  2. DUMPING AREAS FOR EXCAVATED GROUND BOUNDED BY:  A. 72-34-35.1N 074-21-24.1E, 72-33-10.3N 074-23-47.1E,   72-31-57.4N 074-18-33.9E, 72-33-02.0N 074-14-46.2E.  B. 72-11-54.2N 073-55-26.4E, 72-11-55.5N 074-06-50.0E,   72-07-21.6N 073-55-39.4E, 72-09-02.8N 073-48-27.8E.  WGS-84 DATUM.  3. CANCEL THIS MSG 31 OCT 23.=  NNNN"
"POLYGON ((74.356694444444443 72.57641666666666, 74.246166666666667 72.550555555555547, 74.309416666666664 72.532611111111109, 74.396416666666667 72.552861111111113, 74.356694444444443 72.57641666666666))","KARA SEA.  OBSKAYA GUBA.  CHARTS RUS 13329.  1. DREDGING OPERATIONS IN PROGRESS FROM 14 JUL TO 30   OCT BY DREDGERS TONG HENG TONG YUAN XIN ZILANG   IN AREA BOUNDED BY: 72-33-19.1N 073-47-11.6E,   72-33-20.8N 073-48-04.4E, 72-26-26.6N 073-50-40.7E,  72-24-21.4N 073-48-39.0E, 72-09-39.2N 073-10-36.2E,   72-09-49.0N 073-09-55.2E, 72-17-06.8N 073-28-16.6E,   72-24-34.7N 073-47-43.6E, 72-26-24.3N 073-49-29.1E.   WIDE BERTH REQUESTED.  2. DUMPING AREAS FOR EXCAVATED GROUND BOUNDED BY:  A. 72-34-35.1N 074-21-24.1E, 72-33-10.3N 074-23-47.1E,   72-31-57.4N 074-18-33.9E, 72-33-02.0N 074-14-46.2E.  B. 72-11-54.2N 073-55-26.4E, 72-11-55.5N 074-06-50.0E,   72-07-21.6N 073-55-39.4E, 72-09-02.8N 073-48-27.8E.  WGS-84 DATUM.  3. CANCEL THIS MSG 31 OCT 23.=  NNNN"
"POLYGON ((73.924 72.198388888888886, 73.807722222222225 72.15077777777779, 73.927611111111119 72.12266666666666, 74.11388888888888 72.19875, 73.924 72.198388888888886))","KARA SEA.  OBSKAYA GUBA.  CHARTS RUS 13329.  1. DREDGING OPERATIONS IN PROGRESS FROM 14 JUL TO 30   OCT BY DREDGERS TONG HENG TONG YUAN XIN ZILANG   IN AREA BOUNDED BY: 72-33-19.1N 073-47-11.6E,   72-33-20.8N 073-48-04.4E, 72-26-26.6N 073-50-40.7E,  72-24-21.4N 073-48-39.0E, 72-09-39.2N 073-10-36.2E,   72-09-49.0N 073-09-55.2E, 72-17-06.8N 073-28-16.6E,   72-24-34.7N 073-47-43.6E, 72-26-24.3N 073-49-29.1E.   WIDE BERTH REQUESTED.  2. DUMPING AREAS FOR EXCAVATED GROUND BOUNDED BY:  A. 72-34-35.1N 074-21-24.1E, 72-33-10.3N 074-23-47.1E,   72-31-57.4N 074-18-33.9E, 72-33-02.0N 074-14-46.2E.  B. 72-11-54.2N 073-55-26.4E, 72-11-55.5N 074-06-50.0E,   72-07-21.6N 073-55-39.4E, 72-09-02.8N 073-48-27.8E.  WGS-84 DATUM.  3. CANCEL THIS MSG 31 OCT 23.=  NNNN"
POINT (67.2 72.983333333333334),KARA SEA.  CHART RUS 12311.  1. DERELICT NONSELFPROPELLED BARGE ADRIFT 72-59.0N 067-12.0E  AT 152000 UTC JUL 23  CAUTION ADVISED.   2. CANCEL THIS MSG 182000 UTC JUL 23.=  NNNN
"POLYGON ((73.68416666666667 72.694166666666661, 73.75 72.653, 73.826666666666668 72.438833333333335, 73.8145 72.416833333333329, 73.164 72.163833333333329, 73.178 72.160666666666671, 73.843166666666662 72.4165, 73.8445 72.439, 73.76766666666667 72.6545, 73.704 72.694333333333333, 73.68416666666667 72.694166666666661))","KARA SEA.  OBSKAYA GUBA.   CHART RUS 13329.  1. HYDROGRAPHIC OPERATIONS  17 TO 30 JUL BY VESSEL IVAN KIREEV  IN AREA BOUNDED BY:  72-41.65N 073-41.05E, 72-39.18N 073-45.00E,   72-26.33N 073-49.60E, 72-25.01N 073-48.87E,   72-09.83N 073-09.84E, 72-09.64N 073-10.68E,  72-24.99N 073-50.59E, 72-26.34N 073-50.67E,  72-39.27N 073-46.06E, 72-41.66N 073-42.24E.  PROCEED WITH CAUTION.  WGS-84 DATUM.  2. CANCEL THIS MSG 31 JUL 23.=  NNNN"
POINT (73.189166666666665 71),KARA SEA.   OBSKAYA GUBA.  CHART RUS 13331.  AUTOMATIC BOTTOM STATION ESTABLISHED   UNTIL FURTHER NOTICE IN:  71-00.00N 073-11.35E.   WGS-84 DATUM.  0.1 MILE BERTH REQUESTED.=  NNNN
POINT (104.90866666666666 72.757666666666665),LAPTEV SEA.   REKA KHATANGA.  BOOK RUS 2111.  1. PORT HAND BUOY No 18   ESTABLISHED IN 72-45.46N 104-54.52E.  2. PORT HAND LIGHTBUOY No 20   ESTABLISHED IN 20 72-41.16N 104-45.52E.  3. STARBOARD HAND LIGHTBUOY No 27   ESTABLISHED IN 72-40.46N 104-42.12E.   4. PORT HAND LIGHTBUOY No 22   ESTABLISHED IN 72-38.16N 104-37.52E.  5. STARBOARD HAND LIGHTBUOY No 43   ESTABLISHED IN 72-12.26N 102-54.71E.  6. STARBOARD HAND BUOY No 45   ESTABLISHED IN 72-01.96N 102-36.21E.  7. STARBOARD HAND LIGHTBUOY No 47   ESTABLISHED IN 72-00.96N 102-34.41E.  8. PORT HAND BUOY No 50   ESTABLISHED IN 72-00.76N 102-34.91E.=  NNNN
POINT (104.75866666666667 72.686),LAPTEV SEA.   REKA KHATANGA.  BOOK RUS 2111.  1. PORT HAND BUOY No 18   ESTABLISHED IN 72-45.46N 104-54.52E.  2. PORT HAND LIGHTBUOY No 20   ESTABLISHED IN 20 72-41.16N 104-45.52E.  3. STARBOARD HAND LIGHTBUOY No 27   ESTABLISHED IN 72-40.46N 104-42.12E.   4. PORT HAND LIGHTBUOY No 22   ESTABLISHED IN 72-38.16N 104-37.52E.  5. STARBOARD HAND LIGHTBUOY No 43   ESTABLISHED IN 72-12.26N 102-54.71E.  6. STARBOARD HAND BUOY No 45   ESTABLISHED IN 72-01.96N 102-36.21E.  7. STARBOARD HAND LIGHTBUOY No 47   ESTABLISHED IN 72-00.96N 102-34.41E.  8. PORT HAND BUOY No 50   ESTABLISHED IN 72-00.76N 102-34.91E.=  NNNN
POINT (104.702 72.674333333333337),LAPTEV SEA.   REKA KHATANGA.  BOOK RUS 2111.  1. PORT HAND BUOY No 18   ESTABLISHED IN 72-45.46N 104-54.52E.  2. PORT HAND LIGHTBUOY No 20   ESTABLISHED IN 20 72-41.16N 104-45.52E.  3. STARBOARD HAND LIGHTBUOY No 27   ESTABLISHED IN 72-40.46N 104-42.12E.   4. PORT HAND LIGHTBUOY No 22   ESTABLISHED IN 72-38.16N 104-37.52E.  5. STARBOARD HAND LIGHTBUOY No 43   ESTABLISHED IN 72-12.26N 102-54.71E.  6. STARBOARD HAND BUOY No 45   ESTABLISHED IN 72-01.96N 102-36.21E.  7. STARBOARD HAND LIGHTBUOY No 47   ESTABLISHED IN 72-00.96N 102-34.41E.  8. PORT HAND BUOY No 50   ESTABLISHED IN 72-00.76N 102-34.91E.=  NNNN
POINT (104.62533333333333 72.636),LAPTEV SEA.   REKA KHATANGA.  BOOK RUS 2111.  1. PORT HAND BUOY No 18   ESTABLISHED IN 72-45.46N 104-54.52E.  2. PORT HAND LIGHTBUOY No 20   ESTABLISHED IN 20 72-41.16N 104-45.52E.  3. STARBOARD HAND LIGHTBUOY No 27   ESTABLISHED IN 72-40.46N 104-42.12E.   4. PORT HAND LIGHTBUOY No 22   ESTABLISHED IN 72-38.16N 104-37.52E.  5. STARBOARD HAND LIGHTBUOY No 43   ESTABLISHED IN 72-12.26N 102-54.71E.  6. STARBOARD HAND BUOY No 45   ESTABLISHED IN 72-01.96N 102-36.21E.  7. STARBOARD HAND LIGHTBUOY No 47   ESTABLISHED IN 72-00.96N 102-34.41E.  8. PORT HAND BUOY No 50   ESTABLISHED IN 72-00.76N 102-34.91E.=  NNNN
POINT (102.91183333333333 72.204333333333338),LAPTEV SEA.   REKA KHATANGA.  BOOK RUS 2111.  1. PORT HAND BUOY No 18   ESTABLISHED IN 72-45.46N 104-54.52E.  2. PORT HAND LIGHTBUOY No 20   ESTABLISHED IN 20 72-41.16N 104-45.52E.  3. STARBOARD HAND LIGHTBUOY No 27   ESTABLISHED IN 72-40.46N 104-42.12E.   4. PORT HAND LIGHTBUOY No 22   ESTABLISHED IN 72-38.16N 104-37.52E.  5. STARBOARD HAND LIGHTBUOY No 43   ESTABLISHED IN 72-12.26N 102-54.71E.  6. STARBOARD HAND BUOY No 45   ESTABLISHED IN 72-01.96N 102-36.21E.  7. STARBOARD HAND LIGHTBUOY No 47   ESTABLISHED IN 72-00.96N 102-34.41E.  8. PORT HAND BUOY No 50   ESTABLISHED IN 72-00.76N 102-34.91E.=  NNNN
POINT (102.6035 72.032666666666671),LAPTEV SEA.   REKA KHATANGA.  BOOK RUS 2111.  1. PORT HAND BUOY No 18   ESTABLISHED IN 72-45.46N 104-54.52E.  2. PORT HAND LIGHTBUOY No 20   ESTABLISHED IN 20 72-41.16N 104-45.52E.  3. STARBOARD HAND LIGHTBUOY No 27   ESTABLISHED IN 72-40.46N 104-42.12E.   4. PORT HAND LIGHTBUOY No 22   ESTABLISHED IN 72-38.16N 104-37.52E.  5. STARBOARD HAND LIGHTBUOY No 43   ESTABLISHED IN 72-12.26N 102-54.71E.  6. STARBOARD HAND BUOY No 45   ESTABLISHED IN 72-01.96N 102-36.21E.  7. STARBOARD HAND LIGHTBUOY No 47   ESTABLISHED IN 72-00.96N 102-34.41E.  8. PORT HAND BUOY No 50   ESTABLISHED IN 72-00.76N 102-34.91E.=  NNNN
POINT (102.5735 72.016),LAPTEV SEA.   REKA KHATANGA.  BOOK RUS 2111.  1. PORT HAND BUOY No 18   ESTABLISHED IN 72-45.46N 104-54.52E.  2. PORT HAND LIGHTBUOY No 20   ESTABLISHED IN 20 72-41.16N 104-45.52E.  3. STARBOARD HAND LIGHTBUOY No 27   ESTABLISHED IN 72-40.46N 104-42.12E.   4. PORT HAND LIGHTBUOY No 22   ESTABLISHED IN 72-38.16N 104-37.52E.  5. STARBOARD HAND LIGHTBUOY No 43   ESTABLISHED IN 72-12.26N 102-54.71E.  6. STARBOARD HAND BUOY No 45   ESTABLISHED IN 72-01.96N 102-36.21E.  7. STARBOARD HAND LIGHTBUOY No 47   ESTABLISHED IN 72-00.96N 102-34.41E.  8. PORT HAND BUOY No 50   ESTABLISHED IN 72-00.76N 102-34.91E.=  NNNN
POINT (102.58183333333334 72.012666666666661),LAPTEV SEA.   REKA KHATANGA.  BOOK RUS 2111.  1. PORT HAND BUOY No 18   ESTABLISHED IN 72-45.46N 104-54.52E.  2. PORT HAND LIGHTBUOY No 20   ESTABLISHED IN 20 72-41.16N 104-45.52E.  3. STARBOARD HAND LIGHTBUOY No 27   ESTABLISHED IN 72-40.46N 104-42.12E.   4. PORT HAND LIGHTBUOY No 22   ESTABLISHED IN 72-38.16N 104-37.52E.  5. STARBOARD HAND LIGHTBUOY No 43   ESTABLISHED IN 72-12.26N 102-54.71E.  6. STARBOARD HAND BUOY No 45   ESTABLISHED IN 72-01.96N 102-36.21E.  7. STARBOARD HAND LIGHTBUOY No 47   ESTABLISHED IN 72-00.96N 102-34.41E.  8. PORT HAND BUOY No 50   ESTABLISHED IN 72-00.76N 102-34.91E.=  NNNN
POINT (107.725 77.403333333333336),LAPTEV SEA.   CHART RUS 12400.  1. ICEBERGS AT 200710 UTC JUL IN:  A. 77-24.2N 107-43.5E.  B. 77-22.5N 108-42.7E.  C. 77-23.5N 108-32.9E.  D. 77-14.7N 110-05.2E.  2. CANCEL THIS MSG 230710 UTC JUL 23.=  NNNN
POINT (108.71166666666667 77.375),LAPTEV SEA.   CHART RUS 12400.  1. ICEBERGS AT 200710 UTC JUL IN:  A. 77-24.2N 107-43.5E.  B. 77-22.5N 108-42.7E.  C. 77-23.5N 108-32.9E.  D. 77-14.7N 110-05.2E.  2. CANCEL THIS MSG 230710 UTC JUL 23.=  NNNN
POINT (108.54833333333333 77.391666666666666),LAPTEV SEA.   CHART RUS 12400.  1. ICEBERGS AT 200710 UTC JUL IN:  A. 77-24.2N 107-43.5E.  B. 77-22.5N 108-42.7E.  C. 77-23.5N 108-32.9E.  D. 77-14.7N 110-05.2E.  2. CANCEL THIS MSG 230710 UTC JUL 23.=  NNNN
POINT (110.08666666666667 77.245),LAPTEV SEA.   CHART RUS 12400.  1. ICEBERGS AT 200710 UTC JUL IN:  A. 77-24.2N 107-43.5E.  B. 77-22.5N 108-42.7E.  C. 77-23.5N 108-32.9E.  D. 77-14.7N 110-05.2E.  2. CANCEL THIS MSG 230710 UTC JUL 23.=  NNNN
"POLYGON ((85 69.791666666666671, 85 69.75, 85.25 69.75, 85.25 69.791666666666671, 85 69.791666666666671))","KARA SEA.  REKA YENISEY.  CHART RUS 15391.  DREDGING WORKS 23 JUL UNTIL FURTHER NOTICE IN AREA:  69-47.5N 085-00.0E, 69-47.5N 085-15.0E,  69-45.0N 085-15.0E, 69-45.0N 085-00.0E.  ALL VESSELS SHOULD PROCEED WITH CAUTION.  WGS-84 DATUM.=   NNNN"
"LINESTRING (33.538333333333334 69.17, 33.523333333333333 69.298333333333332, 33.841666666666669 69.416666666666671, 34.223333333333336 69.415, 34.758333333333333 69.323333333333338, 36.603333333333332 69.26, 46.143333333333331 68.74, 48.81666666666667 68.343333333333334, 58.091666666666669 70.37166666666667, 65.966666666666669 73.186666666666667)",BARENTS AND KARA SEAS  CHARTS RUS 10100 10103  TUGS TOWING JACKUP DRILLING RIG ARKTICHESKAYA IN PROGRESS FROM 18 JUL  FROM PORT OF MURMANSK TO DRILLING POINT ALONG THE ROUTE  69-10.2N 033-32.3E 69-17.9N 033-31.4E 69-25.0N 033-50.5E 69-24.9N 034-13.4E  69-19.4N 034-45.5E 69-15.6N 036-36.2E 68-44.4N 046-08.6E 68-20.6N 048-49.0E  70-22.3N 058-05.5E 73-11.2N 065-58.0E LENGTH OF TOW 900 METRES  TWO MILE BERTH REQUESTED
"POLYGON ((44.75 75.3, 48.5 73.816666666666663, 52.416666666666664 74.233333333333334, 51.083333333333336 75.766666666666666, 44.75 75.3))",BARENTS SEA WEST OF NOVAYA ZEMLYA ISLANDS  CHARTS RUS 10100 11163  1. PROHIBITED TO FISHING DAILY 13 JUL TO 11 AUG IN AREA BOUNDED BY  75-18.0N 044-45.0E 75-46.0N 051-05.0E 74-14.0N 052-25.0E 73-49.0N 048-30.0E  2. CANCEL THIS MSG 12 AUG 23
"POLYGON ((132.81666666666666 42.625, 131.68333333333334 42.666666666666664, 131 42.416666666666664, 131 42.25, 131.68333333333334 41.666666666666664, 132.81666666666666 41.666666666666664, 132.81666666666666 42.625))",ZALIV PETRA VELIKOGO  CHART RUS 61001  1. GUNNERY EXERCISES 231400 TO 271400 UTC JUL IN AREA  42-40.0N 131-41.0E 42-37.5N 132-49.0E 41-40.0N 132-49.0E  41-40.0N 131-41.0E 42-15.0N 131-00.0E 42-25.0N 131-00.0E  2. CANCEL THIS MESSAGE 271500 UTC JUL 23
POINT (73.391 71.991),"KARA SEA.   OBSKAYA GUBA.  CHARTS RUS 15360, 15361.  AUTOMATIC BOTTOM STATIONS ESTABLISHED   UNTIL FURTHER NOTICE IN:  1. 71-59.46N 073-23.46E.  2. 71-28.03N 072-46.50E.   WGS-84 DATUM.  0.1 MILE BERTH REQUESTED.=  NNNN"
POINT (72.775 71.467166666666671),"KARA SEA.   OBSKAYA GUBA.  CHARTS RUS 15360, 15361.  AUTOMATIC BOTTOM STATIONS ESTABLISHED   UNTIL FURTHER NOTICE IN:  1. 71-59.46N 073-23.46E.  2. 71-28.03N 072-46.50E.   WGS-84 DATUM.  0.1 MILE BERTH REQUESTED.=  NNNN"
POINT (73.746388888888887 72.560555555555553),KARA SEA  OBSKAYA GUBA  CHART RUS 15363  AUTOMATIC BOTTOM STATION ESTABLISHED  UNTIL FURTHER NOTICE IN  72-24.14N 074-20.55E  WGS-84 DATUM  0.1 MILE BERTH REQUESTED=  NNNN
POINT (99.801666666666662 77.868333333333339),"LAPTEV SEA.  CHARTS RUS 11136, 11137.  1. ICEBERGS AT 250910 UTC JUL IN AREAS BOUNDED BY:  A. 77-52.1N 099-48.1E.  B. 78-10.0N 104-30.0E, 78-10.0N 105-50.0E,  78-01.0N 105-50.0E, 78-01.0N 104-30.0E.  C. 77-38.0N 108-00.0E, 77-38.0N 111-40.0E,  77-22.0N 111-40.0E, 77-22.0N 108-00.0E.  2. CANCEL THIS MSG 280910 UTC JUL 23.=  NNNN"
